Road,Plant,Fence,Tree,Understory planting,Ground,Sidewalk,Furniture,Wall,Y
0.434121441,0.641470034,0.495649001,0.802173626,0.552449797,0.305524822,0.662289945,0.216856899,0.511971709,-3.6346265
0.42337426,0.649535411,0.504608281,0.827324478,0.558359985,0.305662352,0.696111425,0.210746596,0.51511371,-2.1545045
0.453958808,0.6399804,0.509531467,0.762606643,0.544036511,0.305661084,0.636607053,0.19395793,0.512626741,7.5042945
0.433345861,0.632699415,0.500701896,0.861367483,0.540582665,0.305659823,0.622411645,0.199999903,0.518151328,0.7264695
0.499754853,0.608030158,0.512083909,0.836574686,0.508328086,0.30563087,0.618621546,0.202820782,0.500246151,-2.7909215
0.42760493,0.625985828,0.477893918,0.855014269,0.533536784,0.305659823,0.609126174,0.197550012,0.505330215,5.4336655
0.371995266,0.604598215,0.492772276,0.767190925,0.509894992,0.305659823,0.649269194,0.227945246,0.508526451,-1.2422995
0.335063947,0.548612815,0.492630772,0.82851444,0.441966279,0.305664236,0.593198433,0.242771997,0.512233068,-11.1807415
0.358844146,0.620913062,0.488068853,0.790048302,0.524867882,0.305606276,0.633348512,0.226139477,0.513582573,-7.8352585
0.412560106,0.625663888,0.498660263,0.608575078,0.533246884,0.305659823,0.653188479,0.19395793,0.511989796,14.3323825
0.312639607,0.633151196,0.492571274,0.838453009,0.54939703,0.305659823,0.657588496,0.205348854,0.511522976,-8.7036085
0.344525821,0.601484654,0.497543769,0.702384509,0.512112351,0.305777731,0.623021563,0.244353263,0.515526286,-8.4377605
0.412560106,0.625663888,0.498660263,0.608575078,0.533246884,0.305659823,0.653188479,0.19395793,0.511989796,1.8743015
0.323187907,0.618992989,0.491415118,0.750521341,0.520014422,0.30592857,0.633956312,0.230151203,0.511932307,-8.1399535
0.344587684,0.641834662,0.480423315,0.73454759,0.532025984,0.307091244,0.650098655,0.192209697,0.514722502,-9.4685265
0.396417606,0.617836851,0.488517488,0.754810535,0.529382608,0.305659823,0.651384845,0.273752252,0.511171217,-6.8977255
0.419290322,0.616672714,0.476298239,0.682519641,0.52566796,0.305741801,0.659376601,0.232933032,0.508829721,-5.7564095
0.395888454,0.622278191,0.472273396,0.657711905,0.528502523,0.30590712,0.623918085,0.196905701,0.511758031,1.2559035
0.38717762,0.600382768,0.478902676,0.640794723,0.506105527,0.305680579,0.634239386,0.215529418,0.507925668,5.6681115
0.398819502,0.599755788,0.480120473,0.709768667,0.512354454,0.306089439,0.607208182,0.256915468,0.515227127,-16.6161125
0.408775765,0.577316985,0.492703669,0.708609123,0.4761265,0.305661724,0.611728914,0.232523102,0.512800156,12.3650705
0.369384777,0.607025209,0.509625266,0.691253311,0.516392249,0.305659823,0.636449632,0.22939962,0.510123337,-10.0750885
0.381204067,0.555455358,0.47826108,0.674951387,0.457189588,0.305659823,0.629522409,0.258262489,0.510219498,11.5732675
0.42831967,0.626959649,0.516688705,0.665809504,0.531594774,0.305659823,0.640589871,0.191372593,0.515619159,-2.2085335
0.315815549,0.541091711,0.533919043,0.834143538,0.428018941,0.305891983,0.625396995,0.19395793,0.508000458,2.1264545
0.294749625,0.598651334,0.444692851,0.487984067,0.50070356,0.307944799,0.655459433,0.267876923,0.513354094,-11.0753565
0.220396687,0.625545618,0.42706641,0.601082062,0.535331209,0.305659823,0.655069057,0.195040102,0.517274397,-0.3099635
0.359481687,0.625663888,0.432592002,0.562187968,0.599312557,0.30293577,0.635020139,0.223493311,0.683915175,16.8382375
0.456881166,0.625663888,0.472273396,0.578287118,0.534808595,0.305648486,0.642862943,0.19395793,0.616911707,5.0922855
0.412560106,0.625663888,0.498660263,0.608575078,0.533246884,0.305659823,0.653188479,0.19395793,0.511989796,0.6194175
0.546945098,0.602422903,0.502587551,0.569714067,0.517825118,0.30563087,0.62731287,0.198194133,0.51924523,5.6623035
0.398663569,0.492252116,0.511765454,0.540954913,0.436120516,0.305659823,0.633121203,0.194543545,0.519749036,-1.1806315
0.360239373,0.623375526,0.538920481,0.60085581,0.539674403,0.305661724,0.606758507,0.204265386,0.650735611,-3.9475675
0.436678759,0.62354896,0.526601536,0.607637518,0.54217856,0.305659823,0.601162656,0.199276575,0.619540778,-0.4413385
0.427286927,0.635933036,0.513630275,0.666892208,0.660279548,0.305672434,0.609674676,0.205582074,0.653491331,8.8625215
0.490280195,0.649779089,0.529327645,0.808845941,0.562634689,0.305659823,0.569508362,0.193353426,0.529614717,16.6058805
0.518689848,0.635412774,0.514553273,0.817029454,0.514584281,0.305659823,0.623411939,0.24105407,0.544297359,1.3808245
0.286473872,0.598059828,0.559571586,0.713378036,0.499294478,0.306587819,0.599788224,0.194035922,0.529475001,-0.1439215
0.384654556,0.594143197,0.528922427,0.716852399,0.489561578,0.305832674,0.612710145,0.199424004,0.511329837,-1.9671295
0.337210212,0.635816534,0.492076543,0.79066196,0.545037128,0.305659823,0.661586846,0.19436813,0.512294709,7.1587835
0.478182781,0.635534614,0.494940975,0.742158534,0.544563403,0.305659823,0.639418745,0.19395793,0.511973367,-4.7775585
0.329201848,0.637029587,0.491711526,0.779572916,0.546021119,0.305659823,0.644304438,0.260321961,0.512110682,-3.1470155
0.440351645,0.625273475,0.483142991,0.780784221,0.532780341,0.304859263,0.666460538,0.221054026,0.51239251,0.3057235
0.361962316,0.543137182,0.500684207,0.828714544,0.437016045,0.305659823,0.650102183,0.220829576,0.513149351,-1.2481365
0.433072848,0.559436909,0.486209996,0.835376187,0.457840039,0.305659823,0.613404774,0.204851055,0.510150466,-1.9565605
