Road,Plant,Fence,Tree,Understory planting,Ground,Sidewalk,Furniture,Wall,Y
0.49285645,0.511189423,0.667191315,0.592377733,0.448835174,0.718060305,0.742743857,0.631394089,0.464881921,-6.048305
0.445954204,0.503865253,0.669659195,0.532205014,0.490738837,0.717790975,0.778185856,0.585346661,0.459069495,1.174408
0.511657542,0.506236789,0.670846975,0.498064493,0.445689746,0.732666431,0.437376148,0.577724088,0.435834648,1.973606
0.21190674,0.498223475,0.609210266,0.534023732,0.439069943,0.71798063,0.744337537,0.578203852,0.518276902,-13.016978
0.511962083,0.498979916,0.616912514,0.528817611,0.4396507,0.718145759,0.672697295,0.574561095,0.457788741,-1.374886
0.634176907,0.476506528,0.292915581,0.479181884,0.410604738,0.714705984,7.23E-01,0.573571958,0.27740889,-7.124645
0.522247906,0.500400793,0.634970597,0.557559307,4.39E-01,0.711881702,0.704737638,0,0.578727918,5.523495
0.673261082,0.498864898,0.689797626,0.552938723,0.436831392,0.718150504,0.741981758,0.505976325,0.395461909,3.090944
0.508356556,0.498223475,0.664842631,0.55387781,4.37E-01,0.718150504,0.739146194,0.574561095,0.461862045,-11.671211
0.475281248,0.466233248,0.6679231,0.551533543,0.427709674,0.717560708,0.728916367,0.579317416,0.447810148,-9.097226
0.494888264,0.467857718,0.664116344,0.57167853,0.428294374,0.715711268,0.717411742,0.579364793,0.435502573,8.686037
0.42262263,0.499006322,0.720374493,0.607541684,0.451084254,0.71225252,0.742403033,0.574602527,0.405160429,3.797063
0.453594498,0.488320765,0.698199859,0.597830704,4.58E-01,0.70977429,0.738828773,0.574927927,0.375041155,3.97182
0.549054121,0.57540073,0.672962081,0.587084551,0.512655521,0.700036419,0.752571426,0.574561095,0.460469855,-13.640434
0.442428033,0.510235357,0.675198464,0.561685665,4.44E-01,0.717790946,0.74392065,0.57591215,0.467976831,3.891992
0.617045374,0.462719384,0.696715421,0.612789742,0.386422557,0.718891191,0.756014037,0.578251245,0.45991194,2.17546
0.505628064,0.543390057,0.69176447,0.615657435,0.448709742,0.708800403,0.704447279,0.574561095,0.405912986,3.431928
0.48861711,0.446264272,0.667115837,0.599355858,3.75E-01,0.733860444,0.731602729,0.580045971,0.466833511,2.211894
0.495383978,0.546036745,0.65563583,0.678788095,0.470231806,0.710496119,0.68908974,0.575004896,0.440764513,6.400478
0.512789647,0.347231201,0.664162082,0.355126812,0.262308412,0.698810162,0.641601161,0.585530847,0.448876205,1.830546
0.617592619,4.45E-01,0.662437151,0.480466561,0.355249049,0.683813405,0.660413748,0.574751061,0.452228901,14.197602
0.549051029,0.459366516,0.663268777,0.598233624,0.373362276,0.681072582,0.74776991,0.586223848,0.42102871,5.831218
0.436879841,0.587153651,0.683347712,0.632917211,0.506586582,0.682615597,0.74901545,0.588711592,0.462915473,2.34613
0.508356556,0.498223475,0.664842631,0.55387781,0.436613356,0.718150504,0.739146194,0.574561095,0.461862045,-7.802809
0.495807035,0.517171089,0.659912471,0.607379771,0.451924646,0.703206858,0.728593827,0.577060679,0.464274302,7.912658
